Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[cell type]	Characteristics[replicate]	Material Type	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_STRAND]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[spike in]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode read]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[umi barcode read]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[sample barcode read]	Comment[sample barcode offset]	Comment[sample barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[disease]	Factor Value[stimulus]
HDF control 1	ERS6146507	SAMEA8461660	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	1	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_1_S2_L001	SAMEA8461660	sequencing assay	ERX5343629	HDF_control_1_S2_L001.bam	HDF_control_1_S2_L001.bam	ERR5625224	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625224/HDF_control_1_S2_L001.bam	HDF_control_1_S2_L001_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L001_R1.fq.gz	HDF_control_1_S2_L001_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L001_R2.fq.gz	HDF_control_1_S2_L001_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L001_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 1	ERS6146507	SAMEA8461660	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	1	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_1_S2_L002	SAMEA8461660	sequencing assay	ERX5343629	HDF_control_1_S2_L002.bam	HDF_control_1_S2_L002.bam	ERR5625225	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625225/HDF_control_1_S2_L002.bam	HDF_control_1_S2_L002_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L002_R1.fq.gz	HDF_control_1_S2_L002_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L002_R2.fq.gz	HDF_control_1_S2_L002_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L002_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 1	ERS6146507	SAMEA8461660	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	1	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_1_S2_L003	SAMEA8461660	sequencing assay	ERX5343629	HDF_control_1_S2_L003.bam	HDF_control_1_S2_L003.bam	ERR5625226	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625226/HDF_control_1_S2_L003.bam	HDF_control_1_S2_L003_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L003_R1.fq.gz	HDF_control_1_S2_L003_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L003_R2.fq.gz	HDF_control_1_S2_L003_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L003_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 1	ERS6146507	SAMEA8461660	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	1	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_1_S2_L004	SAMEA8461660	sequencing assay	ERX5343629	HDF_control_1_S2_L004.bam	HDF_control_1_S2_L004.bam	ERR5625227	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625227/HDF_control_1_S2_L004.bam	HDF_control_1_S2_L004_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L004_R1.fq.gz	HDF_control_1_S2_L004_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L004_R2.fq.gz	HDF_control_1_S2_L004_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_1_S2_L004_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 2	ERS6146508	SAMEA8461661	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	2	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_2_S2_L001	SAMEA8461661	sequencing assay	ERX5343630	HDF_control_2_S2_L001.bam	HDF_control_2_S2_L001.bam	ERR5625228	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625228/HDF_control_2_S2_L001.bam	HDF_control_2_S2_L001_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L001_R1.fq.gz	HDF_control_2_S2_L001_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L001_R2.fq.gz	HDF_control_2_S2_L001_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L001_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 2	ERS6146508	SAMEA8461661	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	2	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_2_S2_L002	SAMEA8461661	sequencing assay	ERX5343630	HDF_control_2_S2_L002.bam	HDF_control_2_S2_L002.bam	ERR5625229	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625229/HDF_control_2_S2_L002.bam	HDF_control_2_S2_L002_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L002_R1.fq.gz	HDF_control_2_S2_L002_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L002_R2.fq.gz	HDF_control_2_S2_L002_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L002_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 2	ERS6146508	SAMEA8461661	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	2	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_2_S2_L003	SAMEA8461661	sequencing assay	ERX5343630	HDF_control_2_S2_L003.bam	HDF_control_2_S2_L003.bam	ERR5625230	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625230/HDF_control_2_S2_L003.bam	HDF_control_2_S2_L003_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L003_R1.fq.gz	HDF_control_2_S2_L003_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L003_R2.fq.gz	HDF_control_2_S2_L003_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L003_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
HDF control 2	ERS6146508	SAMEA8461661	Homo sapiens	adult	normal	skin of trunk	normal tissue	fibroblast	2	cell	HDF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	HDF control 2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	HDF_control_2_S2_L004	SAMEA8461661	sequencing assay	ERX5343630	HDF_control_2_S2_L004.bam	HDF_control_2_S2_L004.bam	ERR5625231	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625231/HDF_control_2_S2_L004.bam	HDF_control_2_S2_L004_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L004_R1.fq.gz	HDF_control_2_S2_L004_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L004_R2.fq.gz	HDF_control_2_S2_L004_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/HDF_control_2_S2_L004_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	HDF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	normal	none
mCAF control 1	ERS6146509	SAMEA8461662	Homo sapiens	adult	cutaneous melanoma	skin of trunk	neoplasm	fibroblast	1	cell	mCAF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	mCAF control 1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	mCAF_control_1_S1_L001	SAMEA8461662	sequencing assay	ERX5343631	mCAF_control_1_S1_L001.bam	mCAF_control_1_S1_L001.bam	ERR5625232	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625232/mCAF_control_1_S1_L001.bam	mCAF_control_1_S1_L001_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/mCAF_control_1_S1_L001_R1.fq.gz	mCAF_control_1_S1_L001_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/mCAF_control_1_S1_L001_R2.fq.gz	mCAF_control_1_S1_L001_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/mCAF_control_1_S1_L001_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	mCAF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	cutaneous melanoma	none
mCAF control 1	ERS6146509	SAMEA8461662	Homo sapiens	adult	cutaneous melanoma	skin of trunk	neoplasm	fibroblast	1	cell	mCAF control 24h	P-MTAB-108151	P-MTAB-108155	P-MTAB-108156	P-MTAB-108152	P-MTAB-108153	mCAF control 1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	not applicable	350	20	10x	10xV3	3 prime tag	polyA RNA	oligo-dT	none	read2	0	54	read1	0	16	read1	16	12	index1	0	10	P-MTAB-108154	Service Laboratory of Functional Genomics and Bioinformatics, Institute of Molecular Genetics of the Czech Academy of Sciences	mCAF_control_1_S1_L002	SAMEA8461662	sequencing assay	ERX5343631	mCAF_control_1_S1_L002.bam	mCAF_control_1_S1_L002.bam	ERR5625233	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR562/ERR5625233/mCAF_control_1_S1_L002.bam	mCAF_control_1_S1_L002_R1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/mCAF_control_1_S1_L002_R1.fq.gz	mCAF_control_1_S1_L002_R2.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/mCAF_control_1_S1_L002_R2.fq.gz	mCAF_control_1_S1_L002_I1.fq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/mCAF_control_1_S1_L002_I1.fq.gz	P-MTAB-108157	P-MTAB-108158	mCAF_control_1_2_raw_counts.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10290/E-MTAB-10290.processed.1.zip	cutaneous melanoma	none
